datalink b 
=========================================================================
                          Station B                                 
-------------------------------------------------------------------------
Protocol.lib, version 3.0, Build: Oct 19 2009 (jiangy@public3.bta.net.cn)
Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-005
Log file "datalink-B.log", TCP port 59144, debug mask 0x00
Station B is connecting station A (TCP port 59144) ... Done.
New epoch: Tue Dec 01 14:03:25 2009
=========================================================================
Designed by chenchen_07415_071419, build: Dec  1 2009  14:02:59

1.441 ** WARNING: System too busy, sleep 15 ms, but be awakened 163 ms later
2.600 .... 8 packets received, 7656 bps, 95.70%, Err 0 (0.0e+000)
4.702 .... 16 packets received, 7725 bps, 96.56%, Err 0 (0.0e+000)
6.811 .... 24 packets received, 7739 bps, 96.74%, Err 0 (0.0e+000)
8.925 .... 32 packets received, 7742 bps, 96.77%, Err 0 (0.0e+000)
11.025 .... 40 packets received, 7754 bps, 96.92%, Err 0 (0.0e+000)
13.137 .... 47 packets received, 7593 bps, 94.91%, Err 1 (9.7e-006)
15.249 .... 55 packets received, 7616 bps, 95.21%, Err 1 (8.3e-006)
17.385 .... 63 packets received, 7623 bps, 95.29%, Err 1 (7.3e-006)
19.488 .... 71 packets received, 7642 bps, 95.52%, Err 2 (1.3e-005)
21.607 .... 79 packets received, 7651 bps, 95.64%, Err 2 (1.2e-005)
24.505 .... 85 packets received, 7240 bps, 90.50%, Err 3 (1.5e-005)
26.612 .... 97 packets received, 7596 bps, 94.95%, Err 3 (1.4e-005)
28.730 .... 105 packets received, 7607 bps, 95.08%, Err 3 (1.3e-005)
30.839 .... 113 packets received, 7618 bps, 95.22%, Err 4 (1.6e-005)
32.958 .... 121 packets received, 7625 bps, 95.32%, Err 4 (1.5e-005)
35.060 .... 129 packets received, 7636 bps, 95.45%, Err 4 (1.4e-005)
37.167 .... 137 packets received, 7644 bps, 95.55%, Err 4 (1.4e-005)
39.295 .... 145 packets received, 7647 bps, 95.58%, Err 4 (1.3e-005)
41.404 .... 153 packets received, 7653 bps, 95.66%, Err 4 (1.2e-005)
44.576 .... 160 packets received, 7428 bps, 92.85%, Err 5 (1.4e-005)
46.680 .... 172 packets received, 7621 bps, 95.27%, Err 5 (1.3e-005)
48.804 .... 180 packets received, 7625 bps, 95.32%, Err 5 (1.3e-005)
50.910 .... 188 packets received, 7632 bps, 95.40%, Err 5 (1.2e-005)
53.017 .... 196 packets received, 7638 bps, 95.47%, Err 5 (1.2e-005)
55.122 .... 204 packets received, 7643 bps, 95.54%, Err 5 (1.1e-005)
57.256 .... 212 packets received, 7644 bps, 95.56%, Err 5 (1.1e-005)
59.369 .... 220 packets received, 7648 bps, 95.61%, Err 5 (1.1e-005)
61.474 .... 228 packets received, 7653 bps, 95.66%, Err 5 (1.0e-005)
63.584 .... 236 packets received, 7657 bps, 95.71%, Err 5 (9.9e-006)
65.697 .... 244 packets received, 7660 bps, 95.75%, Err 5 (9.5e-006)
67.822 .... 252 packets received, 7662 bps, 95.77%, Err 5 (9.2e-006)
69.915 .... 260 packets received, 7667 bps, 95.83%, Err 5 (9.0e-006)
72.029 .... 268 packets received, 7669 bps, 95.86%, Err 5 (8.7e-006)
74.133 .... 276 packets received, 7672 bps, 95.90%, Err 5 (8.5e-006)
76.259 .... 284 packets received, 7673 bps, 95.92%, Err 5 (8.2e-006)
78.371 .... 292 packets received, 7676 bps, 95.95%, Err 5 (8.0e-006)
80.475 .... 299 packets received, 7653 bps, 95.66%, Err 6 (9.3e-006)
82.600 .... 307 packets received, 7654 bps, 95.68%, Err 6 (9.1e-006)
84.740 .... 315 packets received, 7654 bps, 95.68%, Err 6 (8.9e-006)
86.820 .... 323 packets received, 7660 bps, 95.75%, Err 6 (8.7e-006)
88.929 .... 331 packets received, 7662 bps, 95.78%, Err 7 (9.9e-006)
92.382 .... 339 packets received, 7553 bps, 94.41%, Err 8 (1.1e-005)
94.489 .... 351 packets received, 7645 bps, 95.56%, Err 8 (1.1e-005)
96.602 .... 359 packets received, 7647 bps, 95.59%, Err 8 (1.0e-005)
98.704 .... 367 packets received, 7651 bps, 95.63%, Err 8 (1.0e-005)
100.822 .... 375 packets received, 7652 bps, 95.65%, Err 8 (9.9e-006)
102.948 .... 383 packets received, 7653 bps, 95.67%, Err 8 (9.7e-006)
105.300 .... 388 packets received, 7579 bps, 94.74%, Err 9 (1.1e-005)
107.433 .... 399 packets received, 7639 bps, 95.49%, Err 9 (1.0e-005)
109.541 .... 407 packets received, 7641 bps, 95.52%, Err 9 (1.0e-005)
